имат,have
обичайно,usual
гняв,anger
психологически,psychological
силно,heavily
връх,peak
приблизително,approximately
повишаване на,increasing
разстройство,disorder
ракета,missile
по равно,equally
варират,vary
кръгъл,round
разпространение,distribution
транспорт,transportation
свят,holy
близнак,twin
команда,command
комисионна,commission
интерпретация,interpretation
закуска,breakfast
силно,strongly
инженерство,engineering
късмет,luck
т.нар,so-called
постоянен,constant
клиника,clinic
ветеран,veteran
миризма,smell
супена лъжица,tablespoon
способен,capable
нервен,nervous
турист,tourist
хвърлям,toss
от решаващо значение,crucial
погребвам,bury
молете се,pray
домат,tomato
изключение,exception
масло,butter
дефицит,deficit
баня,bathroom
обективен,objective
електронен,electronic
съюзник,ally
пътуване,journey
репутация,reputation
смес,mixture
със сигурност,surely
кула,tower
изправи срещу,confront
чисто,pure
поглед,glance
измерение,dimension
играчка,toy
затворник,prisoner
Колега,fellow
гладка,smooth
наблизо,nearby
връстник,peer
дизайнер,designer
персонал,personnel
възпитател,educator
роднина,relative
имиграция,immigration
колан,belt
чаена лъжичка,teaspoon
рожден ден,birthday
внушение,implication
перфектно,perfectly
бряг,coast
поддръжник,supporter
придружавам,accompany
сребро,silver
тийнейджър,teenager
разпознаване,recognition
пенсиониране,retirement
знаме,flag
възстановяване,recovery
прошепвам,whisper
джентълмен,gentleman
царевица,corn
луна,moon
атрешна,inner
младши,junior
гърлото,throat
заплата,salary
люлка,swing
наблюдател,observer
публикация,publication
реколта,crop
постоянен,permanent
явление,phenomenon
безпокойство,anxiety
за разлика от,unlike
мокър,wet
буквално,literally
противопоставям се,resist
конвенция,convention
прегръщам,embrace
подпомагам,assist
изложба,exhibition
конструирам,construct
зрител,viewer
тиган,pan
консултант,consultant
администратор,administrator
понякога,occasionally
кмет,mayor
разглеждане,consideration
изпълнителен директор,CEO
сигурен,secure
розово,pink
долар,buck
исторически,historic
стихотворение,poem
баба,grandmother
обвързвам,bind
пети,fifth
постоянно,constantly
предприятие,enterprise
услуга,favor
тестване,testing
стомаха,stomach
очевидно,apparent
претеглям,weigh
Инсталирай,install
чувствителен,sensitive
внушение,suggestion
поща,mail
рецепта,recipe
разумен,reasonable
подготовка,preparation
дървена,wooden
елементарен,elementary
концерт,concert
агресивен,aggressive
НЕВЯРНО,FALSE
намерение,intention
канал,channel
екстремни,extreme
тръба,tube
рисунка,drawing
протеин,protein
напусни,quit
отсъствие,absence
латински,Latin
бързо,rapidly
затвор,jail
разнообразие,diversity
честен,honest
палестински,Palestinian
темпо,pace
назначаване на работа,employment
говорител,speaker
впечатление,impression
респондент,respondent
гигант,giant
торта,cake
историк,historian
преговарям,negotiate
Възстанови,restore
съществено,substantial
специалист,specialist
произход,origin
одобрение,approval
тихо,quietly
съветвам,advise
конвенционален,conventional
дълбочина,depth
богатство,wealth
увреждане,disability
черупка,shell
критикувам,criticize
ефективно,effectively
биологични,biological
депутат,deputy
апартамент,flat
марка,brand
уверявам,assure
награда,award
критерии,criteria
дилър,dealer
чрез,via
полезност,utility
точно,precisely
възникват,arise
въоръжен,armed
въпреки това,nevertheless
магистрала,highway
клинични,clinical
рутина,routine
заплата,wage
нормално,normally
фраза,phrase
съставка,ingredient
залог,stake
мюсюлманин,Muslim
фибри,fiber
активист,activist
ислямски,Islamic
щракам,snap
тероризъм,terrorism
бежанец,refugee
включвам,incorporate
крайна,ultimate
превключвател,switch
корпорация,corporation
ценен,valuable
предположение,assumption
съоръжения,gear
бариера,barrier
незначителен,minor
осигуряване,provision
убиец,killer
възлагам,assign
банда,gang
развиващи се,developing
класически,classic
химически,chemical
етикет,label
тийнейджър,teen
индекс,index
ваканция,vacation
адвокат,advocate
чернова,draft
извънредно,extraordinary
груб,rough
крещи,yell
бременна,pregnant
отдалечен,distant
драма,drama
сателит,satellite
лично,personally
часовник,clock
шоколад,chocolate
Италиански,Italian
канадски,Canadian
таван,ceiling
помете,sweep
реклама,advertising
универсален,universal
завъртане,spin
бутон,button
звънец,bell
ранг,rank
тъмнина,darkness
облекло,clothing
супер,super
добив,yield
ограда,fence
портрет,portrait
оцеляване,survival
приблизително,roughly
съдебен процес,lawsuit
свидетелство,testimony
намерени,found
бреме,burden
реагират,react
камера,chamber
мебели,furniture
сътрудничество,cooperation
церемония,ceremony
общуват,communicate
буза,cheek
изгубен,lost
профил,profile
механизъм,mechanism
не съм съгласен,disagree
дузпа,penalty
курорт,resort
унищожаване,destruction
малко вероятно,unlikely
тъкан,tissue
конституционен,constitutional
пъхтя,pant
непознат,stranger
инфекция,infection
кабинет,cabinet
счупен,broken
ябълка,apple
електрически,electric
продължете,proceed
литературен,literary
вирус,virus
глупав,stupid
спор,dispute
състояние,fortune
стратегически,strategic
асистент,assistant
преодолявам,overcome
забележително,remarkable
заемат,occupy
статистика,statistics
пазаруване,shopping
братовчед,cousin
сблъскване,encounter
избършете,wipe
първоначално,initially
сляп,blind
порт,port
електричество,electricity
генетични,genetic
съветник,adviser
говорител,spokesman
запазвам,retain
последно,latter
стимул,incentive
превеждам,translate
точен,accurate
като има предвид, че,whereas
терор,terror
разширение,expansion
елит,elite
олимпийски,Olympic
мръсотия,dirt
странно,odd
ориз,rice
куршум,bullet
стегнати,tight
Библия,Bible
графика,chart
слънчева,solar
квадрат,square
концентрация,concentration
сложно,complicated
нежно,gently
шампион,champion
сценарий,scenario
телескоп,telescope
отражение,reflection
революция,revolution
Лента,strip
тълкувам,interpret
приятелски настроен,friendly
турнир,tournament
измислица,fiction
откривам,detect
огромен,tremendous
живот,lifetime
препоръка,recommendation
сенатор,senator
на лов,hunting
салата,salad
гаранция,guarantee
невинен,innocent
граница,boundary
пауза,pause
дистанционно,remote
удовлетворение,satisfaction
дневник,journal
пейка,bench
любовник,lover
суров,raw
осъзнаване,awareness
изненадващо,surprising
оттегляне,withdraw
палуба,deck
по същия начин,similarly
наскоро,newly
няма,pole
свидетелствам,testify
режим,mode
диалог,dialogue
предполагат,imply
естествено,naturally
взаимно,mutual
основател,founder
напреднал,advanced
гордост,pride
уволнявам,dismiss
самолет,aircraft
доставка,delivery
главно,mainly
печете,bake
замръзвам,freeze
платформа,platform
финанси,finance
мивка,sink
атрактивен,attractive
разнообразни,diverse
релевантни,relevant
идеален,ideal
радост,joy
редовно,regularly
работещ,working
певица,singer
развивам се,evolve
стрелба,shooting
частично,partly
неизвестен,unknown
нарушение,offense
брояч,counter
потенциално,potentially
тридесет,thirty
оправдавам,justify
протестирам,protest
катастрофа,crash
правя,craft
договор,treaty
терорист,terrorist
прозрение,insight
притежавам,possess
политически,politically
докоснете,tap
обширен,extensive
епизод,episode
плувам,swim
автомобилна гума,tire
грешка,fault
разхлабен,loose
скоро,shortly
първоначално,originally
значителен,considerable
предварителен,prior
интелектуален,intellectual
нападение,assault
отпуснете се,relax
стълбище,stair
приключение,adventure
външен,external
доказателство,proof
уверен,confident
централно управление,headquarters
внезапно,sudden
мръсен,dirty
нарушение,violation
език,tongue
Разрешително,license
подслон,shelter
търкайте,rub
полемика,controversy
вход,entrance
правилно,properly
избледняват,fade
отбранителен,defensive
трагедия,tragedy
нето,net
характеризират,characterize
погребение,funeral
професия,profession
променям,alter
представляват,constitute
заведение,establishment
стискам,squeeze
въображение,imagination
маска,mask
преобразувам,convert
изчерпателна,comprehensive
виден,prominent
представяне,presentation
независимо от това,regardless
натоварване,load
стабилен,stable
Въведение,introduction
преструвам се,pretend
възрастен,elderly
представителство,representation
елен,deer
разделяне,split
нарушавам,violate
партньорство,partnership
замърсяване,pollution
емисия,emission
стабилен,steady
жизненоважен,vital
съдба,fate
печалби,earnings
фурна,oven
разграничение,distinction
сегмент,segment
никъде,nowhere
поет,poet
Повече ▼,mere
вълнуващо,exciting
вариация,variation
комфорт,comfort
радикален,radical
адаптирам се,adapt
ирландски,Irish
пчелен мед,honey
кореспондент,correspondent
Блед,pale
музикант,musician
значимост,significance
съхранение,storage
бягам,flee
мм-хмм,mm-hmm
Кожа,leather
разпространявам,distribute
еволюция,evolution
аз ще,ill
племе,tribe
рафт,shelf
дядо,grandfather
морава,lawn
купувач,buyer
хранене,dining
мъдрост,wisdom
съвет,council
уязвими,vulnerable
инстанция,instance
чесън,garlic
способност,capability
поезия,poetry
знаменитост,celebrity
постепенно,gradually
стабилност,stability
фантазия,fantasy
уплашен,scared
парцел,plot
рамка,framework
жест,gesture
в зависимост,depending
продължава,ongoing
психология,psychology
съветник,counselor
глава,chapter
развод,divorce
дължа,owe
тръба,pipe
атлетичен,athletic
математика,math
сянка,shade
опашка,tail
поддържам,sustain
монтиране,mount
задължение,obligation
ъгъл,angle
длан,palm
различават,differ
персонализиран,custom
икономист,economist
петнадесет,fifteen
супа,soup
празненство,celebration
ефикасен,efficient
състав,composition
задоволяват,satisfy
купчина,pile
накратко,briefly
въглерод,carbon
по близо,closer
консумират,consume
схема,scheme
пукнатина,crack
честота,frequency
тютюн,tobacco
оцелял,survivor
Освен това,besides
психолог,psychologist
богат,wealthy
галактика,galaxy
дадено,given
ограничение,limitation
следа,trace
назначаване,appointment
предпочитание,preference
метър,meter
експлозия,explosion
публично,publicly
невероятен,incredible
боец,fighter
бърз,rapid
допускане,admission
ловец,hunter
образоват,educate
болезнено,painful
приятелство,friendship
помощник,aide
кърмаче,infant
изчисли,calculate
петдесет,fifty
отървавам се,rid
веранда,porch
тенденция,tendency
униформа,uniform
образуване,formation
стипендия,scholarship
резервация,reservation
ефективност,efficiency
квалифицирам,qualify
търговски център,mall
извличам,derive
скандал,scandal
полезно,helpful
впечатлявам,impress
всичко,heel
приличат,resemble
поверителност,privacy
плат,fabric
състезание,contest
пропорция,proportion
насока,guideline
пушка,rifle
поддръжка,maintenance
убеждение,conviction
трик,trick
органични,organic
палатка,tent
Преглед,examination
издател,publisher
укрепвам,strengthen
предложено,proposed
сложен,sophisticated
крава,cow
и т.н,etc
стоящ,standing
заспал,asleep
тенис,tennis
нерв,nerve
барел,barrel
бомбардировка,bombing
членство,membership
съотношение,ratio
меню,menu
спорен,controversial
отчаян,desperate
начин на живот,lifestyle
хумор,humor
силен,loud
ръкавица,glove
достатъчно,sufficient
разказ,narrative
фотограф,photographer
хеликоптер,helicopter
скромен,modest
доставчик,provider
забавяне,delay
земеделски,agricultural
експлодирам,explode
удар,stroke
обхват,scope
наказание,punishment
шепа,handful
хоризонт,horizon
любопитен,curious
в центъра,downtown
приятелка,girlfriend
подкана,prompt
холестерол,cholesterol
абсорбирам,absorb
корекция,adjustment
данъкоплатец,taxpayer
нетърпелив,eager
главница,principal
подробно,detailed
мотивация,motivation
задание,assignment
ограничение,restriction
лаборатория,laboratory
работилница,workshop
различно,differently
Автоматичен,auto
романтичен,romantic
памук,cotton
мотор,motor
съдя,sue
вкус,flavor
пренебрегвам,overlook
плавам,float
подлагам се,undergo
последователност,sequence
демонстрация,demonstration
струя,jet
оранжево,orange
консумация,consumption
твърдят,assert
острие,blade
временно,temporary
лекарства,medication
кабина,cabin
хапя,bite
редактиране,edition
долина,valley
твоя,yours
стъпка,pitch
брилянтен,brilliant
срещу,versus
производство,manufacturing
абсолютен,absolute
готвач,chef
дискриминация,discrimination
обидно,offensive
регистрирам,register
назначавам,appoint
наследство,heritage
доминантен,dominant
успешно,successfully
мамка му,shit
лимон,lemon
гладен,hungry
скитам се,wander
Изпращане,submit
икономика,economics
предвиждам,anticipate
гайка,nut
наследство,legacy
разширение,extension
сви рамене,shrug
батерия,battery
пристигане,arrival
легитимен,legitimate
ориентация,orientation
инфлация,inflation
справя се,cope
пламък,flame
клъстер,cluster
рана,wound
зависим,dependent
институционален,institutional
изобразяват,depict
опериращ,operating
плът,flesh
гараж,garage
оператор,operator
инструктор,instructor
колапс,collapse
взимам на заем,borrow
освен това,furthermore
комедия,comedy
ипотека,mortgage
санкция,sanction
граждански,civilian
дванадесет,twelve
седмично,weekly
среда на живот,habitat
зърно,grain
четка,brush
съзнание,consciousness
посвещавам,devote
измерване,measurement
провинция,province
лекота,ease
изземвам,seize
етика,ethics
номинация,nomination
разрешение,permission
мъдър,wise
актриса,actress
връх,summit
киселина,acid
коефициенти,odds
надарен,gifted
разочарование,frustration
среден,medium
физически,physically
различавам,distinguish
бряг,shore
многократно,repeatedly
бял дроб,lung
бягане,running
различен,distinct
артистичен,artistic
дискурс,discourse
кошница,basket
борба,fighting
впечатляващо,impressive
състезател,competitor
грозен,ugly
притеснен,worried
изобразявам,portray
прах,powder
призрак,ghost
убеждавам,persuade
умерено,moderate
последващи,subsequent
продължи,continued
бисквитка,cookie
носител,carrier
готвене,cooking
често срещан,frequent
забрана,ban
ужасно,awful
възхищавам се,admire
домашен любимец,pet
чудо,miracle
надхвърлям,exceed
ритъм,rhythm
широко разпространен,widespread
убиване,killing
прекрасно,lovely
грях,sin
благотворителност,charity
сценарий,script
тактика,tactic
идентифициране,identification
трансформация,transformation
всеки ден,everyday
заглавие,headline
начинание,venture
инвазия,invasion
въпреки това,nonetheless
адекватен,adequate
пиано,piano
бакалия,grocery
интензивност,intensity
експонат,exhibit
одеяло,blanket
марж,margin
защитник,quarterback
мишка,mouse
въже,rope
бетон,concrete
рецепта,prescription
Афроамериканец,African-American
гонитба,chase
тухла,brick
набирам,recruit
пластир,patch
консенсус,consensus
ужас,horror
записване,recording
промяна,changing
художник,painter
колониален,colonial
саке,sake
поглед,gaze
кураж,courage
бременност,pregnancy
Закълни се,swear
поражение,defeat
улика,clue
подсилвам,reinforce
объркване,confusion
парче,slice
професия,occupation
скъпа,dear
въглища,coal
свещен,sacred
формула,formula
когнитивен,cognitive
колективен,collective
точно,exact
чичо,uncle
капитан,captain
въздишка,sigh
атрибут,attribute
осмелявам се,dare
бездомен,homeless
галерия,gallery
футбол,soccer
ответник,defendant
тунел,tunnel
фитнес,fitness
обиколка,lap
гроб,grave
тогава,toe
контейнер,container
добродетелта,virtue
в чужбина,abroad
архитект,architect
драматично,dramatically
грим,makeup
разследване,inquiry
роза,rose
изненадващо,surprisingly
подчертайте,highlight
намаляване,decrease
индикация,indication
релса,rail
годишнина,anniversary
диван,couch
съюз,alliance
хипотеза,hypothesis
гадже,boyfriend
композирайте,compose
бъркотия,mess
легенда,legend
регулират,regulate
юноша,adolescent
блясък,shine
норма,norm
разстроен,upset
Забележка,remark
оставка,resign
награда,reward
свързани,related
орган,organ
леко,lightly
относно,concerning
измислям,invent
смях,laughter
Северозападна,northwest
консултиране,counseling
приемник,receiver
ритуал,ritual
насекомо,insect
прекъсвам,interrupt
сьомга,salmon
търговия,trading
магия,magic
превъзхождащ,superior
битка,combat
стъбло,stem
хирург,surgeon
приемливо,acceptable
физика,physics
изнасилване,rape
съветник,counsel
дънки,jeans
ловувам,hunt
непрекъснато,continuous
дневник,log
хапче,pill
развълнуван,excited
скулптура,sculpture
съединение,compound
интегрирам,integrate
брашно,flour
горчив,bitter
просто,bare
наклон,slope
под наем,rent
президентство,presidency
сервиране,serving
значително,greatly
епископ,bishop
пиене,drinking
приемане,acceptance
помпа,pump
бонбони,candy
доволен,pleased
медал,medal
помолвам,beg
спонсор,sponsor
етичен,ethical
втори,secondary
затръшвам,slam
износ,export
експериментален,experimental
стопявам,melt
полунощ,midnight
крива,curve
интегритет,integrity
право,entitle
очевидно,evident
логика,logic
същност,essence
изключвам,exclude
суров,harsh
дрешник,closet
крайградски,suburban
поздравявам,greet
интериор,interior
коридор,corridor
на дребно,retail
стомна,pitcher
Март,march
змия,snake
извинение,excuse
слабост,weakness
прасе,pig
класически,classical
оценени,estimated
тениска,T-shirt
безработица,unemployment
цивилизация,civilization
гънка,fold
обратен,reverse
липсва,missing
корелация,correlation
човечеството,humanity
светкавица,flash
разработчик,developer
надежден,reliable
вълнение,excitement
говеждо месо,beef
ислям,Islam
римски,Roman
архитектура,architecture
от време на време,occasional
административен,administrative
лакът,elbow
смъртоносен,deadly
испанец,Hispanic
твърдение,allegation
обърквам,confuse
самолет,airplane
месечно,monthly
патица,duck
доза,dose
корейски,Korean
пледирам,plead
инициирам,initiate
лекция,lecture
шесто,sixth
залив,bay
мейнстрийм,mainstream
предградие,suburb
сандвич,sandwich
багажник,trunk
слух,rumor
изпълнение,implementation
поглъщам,swallow
мотивирам,motivate
изобразявам,render
дълго време,longtime
капан,trap
ограничавам,restrict
плат,cloth
привидно,seemingly
законодателна,legislative
ефикасност,effectiveness
налагам,enforce
лещи,lens
инспектор,inspector
заемаш,lend
обикновена,plain
измама,fraud
спътник,companion
споря,contend
пирон,nail
масив,array
строг,strict
сглобявам,assemble
честно казано,frankly
плъх,rat
хубаво,hay
коридор,hallway
пещера,cave
неизбежно,inevitable
югозапад,southwest
чудовище,monster
неочаквано,unexpected
пречка,obstacle
улеснявам,facilitate
Почивай в мир,rip
билка,herb
поразителен,overwhelming
интеграция,integration
кристал,crystal
рецесия,recession
написана,written
мотив,motive
наводнение,flood
химилка,pen
собственост,ownership
кошмар,nightmare
проверка,inspection
ръководител,supervisor
консултирайте се,consult
арена,arena
диагноза,diagnosis
владение,possession
прости,forgive
последователно,consistently
мазе,basement
дрейф,drift
източване,drain
наказателно преследване,prosecution
максимум,maximum
съобщение,announcement
войн,warrior
прогноза,prediction
бактерии,bacteria
въпросник,questionnaire
инфраструктура,infrastructure
побързайте,hurry
привилегия,privilege
храм,temple
на открито,outdoor
смучат,suck
и/или,and/or
излъчване,broadcast
скок,leap
случаен,random
китка на ръка,wrist
завеса,curtain
езерце,pond
домейн,domain
вина,guilt
говеда,cattle
ходене,walking
плейоф,playoff
минимум,minimum
фискален,fiscal
пола,skirt
сметище,dump
следователно,hence
база данни,database
неудобно,uncomfortable
изпълни,execute
крайник,limb
идеология,ideology
мелодия,tune
продължаване,continuing
вреда,harm
железопътна линия,railroad
издържам,endure
радиация,radiation
хроничен,chronic
мирен,peaceful
иновация,innovation
китара,guitar
замяна,replacement
държа се,behave
администрирам,administer
едновременно,simultaneously
танцьорка,dancer
изменение,amendment
подложка,pad
предаване,transmission
изчакайте,await
пенсиониран,retired
спусък,trigger
разлив,spill
благодарен,grateful
благодат,grace
виртуален,virtual
колония,colony
осиновяване,adoption
местно население,indigenous
затворен,closed
осъден,convict
хавлиена кърпа,towel
променям,modify
частица,particle
награда,prize
кацане,landing
тласък,boost
един,bat
аларма,alarm
фестивал,festival
хватка,grip
странно,weird
подкопавам,undermine
първокурсник,freshman
външен,outer
пиян,drunk
раздяла,separation
традиционно,traditionally
управлява,govern
югоизток,southeast
интелигентен,intelligent
където и да е,wherever
гласуване,ballot
риторика,rhetoric
убеден,convinced
шофиране,driving
витамин,vitamin
ентусиазъм,enthusiasm
настанявам,accommodate
хвала,praise
наранявам,injure
пустиня,wilderness
безкраен,endless
мандат,mandate
съответно,respectively
несигурност,uncertainty
хаос,chaos
механичен,mechanical
платно,canvas
четиридесет,forty
лоби,lobby
дълбоко,profound
формат,format
Характерна черта,trait
валута,currency
пуйка,turkey
резерв,reserve
астроном,astronomer
корупция,corruption
изпълнител,contractor
извинете се,apologize
доктрина,doctrine
истински,genuine
палец,thumb
единство,unity
компромис,compromise
ужасен,horrible
поведенчески,behavioral
изключителен,exclusive
разпръсквам,scatter
обикновено,commonly
предавам,convey
усукване,twist
сложност,complexity
вилица,fork
диск,disk
облекчавам,relieve
подозрение,suspicion
здравеопазване,health-care
местожителство,residence
срам,shame
смислен,meaningful
тротоар,sidewalk
олимпиада,Olympics
технологичен,technological
подпис,signature
приятно,pleasant
спирам,suspend
бунтовник,rebel
замразени,frozen
съпруг,spouse
течност,fluid
пенсия,pension
продължи,resume
теоретичен,theoretical
натрий,sodium
повишение,promotion
деликатен,delicate
челото,forehead
възстановявам,rebuild
отскачане,bounce
електрически,electrical
кука,hook
детектив,detective
пътник,traveler
щракнете,click
компенсация,compensation
изход,exit
атракция,attraction
посвещавам,dedicate
като цяло,altogether
Вдигни,pickup
издълбавам,carve
игла,needle
корема,belly
плаша,scare
портфолио,portfolio
совалка,shuttle
невидим,invisible
синхронизация,timing
годеж,engagement
глезен,ankle
сделка,transaction
спасяване,rescue
двойник,counterpart
исторически,historically
твърдо,firmly
ездач,rider
кукла,doll
по обяд,noon
сред,amid
идентичен,identical
прецизен,precise
разтревожен, неспокоен,anxious
структурен,structural
жилищен,residential
поставям диагноза,diagnose
въглехидрат,carbohydrate
свобода,liberty
постер,poster
теология,theology
нестопанска цел,nonprofit
пълзене,crawl
кислород,oxygen
красив,handsome
сума,sum
предоставени,provided
бизнесмен,businessman
обещаващ,promising
в съзнание,conscious
решителност,determination
донор,donor
нейната,hers
пастор,pastor
джаз,jazz
опера,opera
придобиване,acquisition
прегръдка,hug
дивата природа,wildlife
наказвам,punish
собствен капитал,equity
врата,doorway
заминаване,departure
асансьор,elevator
тийнейджърски,teenage
напътствие,guidance
щастие,happiness
статуя,statue
преследване,pursuit
ремонт,repair
приличен,decent
фитнес,gym
устно,oral
чиновник,clerk
плик,envelope
отчитане,reporting
дестинация,destination
юмрук,fist
одобрявам,endorse
проучване,exploration
щедър,generous
баня,bath
по този начин,thereby
индикатор,indicator
слънчева светлина,sunlight
обратна връзка,feedback
спектър,spectrum
лилаво,purple
лазер,laser
удебелен,bold
те се колебаят,reluctant
стартиране,starting
експертиза,expertise
практически,practically
храня се,eating
намек,hint
рязко,sharply
парад,parade
царство,realm
анулиране,cancel
смесвам,blend
терапевт,therapist
кора,peel
пица,pizza
получател,recipient
колебайте,hesitate
флип,flip
счетоводство,accounting
пристрастие,bias
метафора,metaphor
свещ,candle
съдебно,judicial
образувание,entity
страдание,suffering
пълен работен ден,full-time
лампа,lamp
боклуци,garbage
слуга,servant
регулаторен,regulatory
дипломатически,diplomatic
елегантен,elegant
рецепция,reception
изчезват,vanish
автоматично,automatically
брадичка,chin
необходимост,necessity
признавам си,confess
расизъм,racism
стартер,starter
банково дело,banking
случайни,casual
земно притегляне,gravity
записвам се,enroll
намалявам,diminish
предотвратяване,prevention
минимизиране,minimize
котлет,chop
изпълнител,performer
намерение,intent
изолирайте,isolate
складова наличност,inventory
продуктивен,productive
монтаж,assembly
граждански,civic
коприна,silk
величина,magnitude
стръмен,steep
заложник,hostage
колектор,collector
популярност,popularity
извънземно,alien
динамичен,dynamic
страшен,scary
уравнение,equation
ангел,angel
предлагане,offering
ярост,rage
фотография,photography
тоалетна,toilet
разочарован,disappointed
скъпоценен,precious
забранявам,prohibit
реалистичен,realistic
скрит,hidden
търг,tender
събиране,gathering
изключителен,outstanding
препъване,stumble
самотен,lonely
автомобилен,automobile
изкуствени,artificial
зората,dawn
абстрактно,abstract
слизам,descend
глупав,silly
прилив,tide
споделено,shared
да се надяваме,hopefully
с готовност,readily
сътрудничат,cooperate
революционен,revolutionary
романтика,romance
хардуер,hardware
възглавница,pillow
комплект,kit
континент,continent
тюлен,seal
верига,circuit
управляващ,ruling
недостиг,shortage
годишно,annually
напоследък,lately
сканиране,scan
глупак,fool
краен срок,deadline
отзад,rear
обработка,processing
ранчо,ranch
крайбрежен,coastal
предприемам,undertake
нежно,softly
парене,burning
глаголен,verbal
племенен,tribal
нелепо,ridiculous
автоматичен,automatic
диамант,diamond
достоверност,credibility
импортиране,import
сексуално,sexually
божествено,divine
настроения,sentiment
количка,cart
надзиравам,oversee
часа,o'clock
старейшина,elder
професионалист,pro
вдъхновение,inspiration
холандски,Dutch
количество,quantity
ремарке,trailer
смърт,mate
Гръцки,Greek
гений,genius
паметник,monument
предложение,bid
търсене,quest
жертва,sacrifice
покана,invitation
точност,accuracy
съдебен заседател,juror
официално,officially
брокер,broker
съкровище,treasure
лоялност,loyalty
талантлив,talented
бензин,gasoline
скован,stiff
изход,output
номиниран,nominee
удължен,extended
диабет,diabetes
шамар,slap
токсичен,toxic
предполагаем,alleged
челюст,jaw
скръб,grief
мистериозен,mysterious
ракета,rocket
дарявам,donate
затворник,inmate
справи,tackle
динамика,dynamics
нашият,ours
достойнство,dignity
килим,carpet
родителски,parental
балон,bubble
приятелю,buddy
хамбар,barn
седмо,seventh
слава,glory
плътно,tightly
защитен,protective
затъквам,tuck
барабан,drum
губя съзнание,faint
кралица,queen
дилема,dilemma
вход,input
специализират,specialize
североизток,northeast
плитък,shallow
отговорност,liability
плавам,sail
търговец,merchant
стадион,stadium
подобрен,improved
кървав,bloody
свързани,associated
оттегляне,withdrawal
хладилник,refrigerator
гнездо,nest
старателно,thoroughly
платно,lane
прародител,ancestor
осъждам,condemn
пара,steam
акцент,accent
оптимистичен,optimistic
обединяват се,unite
клетка,cage
оборудвам,equip
скариди,shrimp
роден край,homeland
багажник,rack
костюм,costume
вълк,wolf
съдебна зала,courtroom
устав,statute
карикатура,cartoon
производителност,productivity
усмивка,grin
символичен,symbolic
буболечка,bug
благославям,bless
леля,aunt
селско стопанство,agriculture
враждебен,hostile
зачевам,conceive
комбинирани,combined
моментално,instantly
фалит,bankruptcy
ваксина,vaccine
бонус,bonus
сътрудничество,collaboration
смесен,mixed
противопоставени,opposed
орбита,orbit
хващам,grasp
търпение,patience
злоба,spite
тропически,tropical
гласуване,voting
патрул,patrol
желание,willingness
откровение,revelation
спокоен,calm
бижута,jewelry
кубински,Cuban
теглене,haul
признавам,concede
вагон,wagon
после,afterward
грандиозен,spectacular
разруха,ruin
чист,sheer
имунен,immune
надеждност,reliability
наред,alongside
храст,bush
екзотично,exotic
очарователно,fascinating
клип,clip
бедро,thigh
чекмедже,drawer
овце,sheep
обезсърчавам,discourage
координатор,coordinator
идеологически,ideological
бегач,runner
светски,secular
интимен,intimate
империя,empire
такси,cab
изпит,exam
документален филм,documentary
неутрален,neutral
биология,biology
гъвкав,flexible
прогресивен,progressive
конспирация,conspiracy
пострадал,casualty
република,republic
екзекуция,execution
страхотно,terrific
функционален,functional
инстинкт,instinct
съотборник,teammate
алуминий,aluminum
който и да е,whoever
министерство,ministry
присъда,verdict
инструктирам,instruct
череп,skull
самочувствие,self-esteem
кооперативен,cooperative
манипулирам,manipulate
пчела,bee
практик,practitioner
цикъл,loop
редактиране,edit
камшик,whip
пъзел,puzzle
гъба,mushroom
субсидия,subsidy
кипене,boil
трагичен,tragic
математика,mathematics
механик,mechanic
буркан,jar
земетресение,earthquake
свинско,pork
креативност,creativity
безопасно,safely
лежащ в основата,underlying
десерт,dessert
съчувствие,sympathy
рибар,fisherman
невероятно,incredibly
изолация,isolation
чорап,sock
единадесет,eleven
секси,sexy
предприемач,entrepreneur
синдром,syndrome
бюро,bureau
работно място,workplace
амбиция,ambition
тъчдаун,touchdown
използвам,utilize
полъх,breeze
скъпи,costly
амбициозен,ambitious
християнството,Christianity
вероятно,presumably
влиятелен,influential
превод,translation
несигурен,uncertain
разтварям,dissolve
статистически,statistical
червата,gut
митрополит,metropolitan
валцуване,rolling
естетичен,aesthetic
заклинание,spell
вмъкнете,insert
будка,booth
каска,helmet
талия,waist
очакван,expected
постижение,accomplishment
кралски,royal
паника,panic
смачквам,crush
активно,actively
скала,cliff
минимален,minimal
шнур,cord
за щастие,fortunately
кокаин,cocaine
илюзия,illusion
анонимен,anonymous
толерирам,tolerate
признателност,appreciation
комисар,commissioner
гъвкавост,flexibility
инструктаж,instructional
боричкане,scramble
казино,casino
тумор,tumor
украсяват,decorate
пулс,pulse
еквивалентен,equivalent
фиксирани,fixed
опитен,experienced
дарение,donation
дневник,diary
брат или сестра,sibling
ирония,irony
лъжица,spoon
по средата,midst
алея,alley
взаимодействат,interact
сапун,soap
сладко,cute
съперник,rival
краткосрочен,short-term
удар,punch
карфица,pin
хокей,hockey
преминаване,passing
упорствам,persist
доставчик,supplier
известен,known
импулс,momentum
Портмоне,purse
навес,shed
течност,liquid
икона,icon
слон,elephant
следователно,consequently
законодателна власт,legislature
франчайз,franchise
правилно,correctly
умствено,mentally
приемен,foster
велосипед,bicycle
насърчаване,encouraging
мамят,cheat
лекувам,heal
висока температура,fever
филтър,filter
