този;this one
модерен;modern
колона;column
лорд;lord
съществуване;existence
мнозинство;the majority
петък;Friday
1999;1999
океан;the ocean
контролен;control
кино;movies
дейвид;David
кост;bone
допълня;adds
единен;united
злато;gold
земен;terrestrial
обвиня;blame
готвя;I'm cooking
шампион;champion
htm;htm
пратя;wash
госпожица;miss
уред;device
краище;end
дворец;palace
заслужавам;I deserve it
разпределение;distribution
противник;enemy
Х;X
превоз;transportation
девойка;the girl
жесток;cruel
потъна;sank
арестувам;I'm arresting
цитирам;quote
реализирам;realize
дон;don
вяра;faith
забелязвам;I notice
мек;soft
отговорен;responsible
серия;series
замък;castle
съединен;connected
неприятен;unpleasant
футболист;football player
охрана;security
въже;rope
метал;metal
правилен;correct
капацитет;capacity
пристъп;seizure
договарям;I negotiate
m;m
П;P
преча;interfere
действителност;reality
постигане;achievement
обхвана;covered
загора;tan
издигам;I raise
Tel;Tel
отменя;cancels
спазвам;I respect
михайлов;михайлов
впрочем;however
преследвам;chase
ужасно;awful
харесам;I like it
американец;American
изследвам;research
турчин;Turkish
вероятност;probability
куп;bunch
инфраструктура;infrastructure
вкус;taste
присъединя;joins
железен;iron
членство;membership
откъм;from
режисьор;director
сух;dry
способен;capable
семеен;family
състезание;competition
проф;prof
земеделие;agriculture
сетне;then
обхват;scope
конституция;constitution
ок;approx
ефективност;efficiency
страшно;scary
откакто;since
полша;Poland
60;60
демокрация;democracy
притежател;holder
каменен;stone
поканя;invitation
късмет;good luck
умение;skill
надзор;supervision
стопански;economic
практика;practice
целуна;kiss
писмен;written
меч;sword
попадам;I fall
кирил;Cyril
алкохол;alcohol
мисис;Mrs.
страст;passion
надпис;inscription
предизвиквам;provoke
напускам;I'm leaving
търново;Tarnovo
прах;dust
показател;indicator
g;g
вися;hanging
костюм;suit
традиционен;traditional
установяване;establishment
изненадам;surprise
плача;crying
интервю;interview
повишен;elevated
варненски;Varna
фаза;phase
сетя;network
подчертая;I emphasize
широко;widely
чичо;uncle
разказ;story
коментар;comment
изключа;exclude
осъществяване;implementation
здравеопазване;healthcare
горе;above
рим;Rome
приближавам;approaching
B;B
същевременно;at the same time
загледам;I look
поспециално;especially
слух;hearing
пада;falls
пета;fifth
отличен;excellent
печат;seal
русе;ruse
унищожа;destroy
повиша;raises
понятие;concept
подлежа;subject to
обявявам;I announce
призовавам;I call
символ;symbol
свещеник;priest
инсулин;insulin
горещ;hot
библиотека;library
отначало;at first
тодор;todor
&768;& 768
сложен;complex
събиране;collection
конференция;conference
защитен;protected
изхвърля;discards
холдинг;holding
ДПС;MRF
илиев;iliyev
съмнявам;I doubt it
произнеса;pronounced
редовен;regular
уточня;specify
лента;tape
III;III
ръководя;I lead
изражение;look
причиня;the reason
лаборатория;laboratory
затворя;closes
хоро;round dance
огранича;restricts
мнозина;many
thumb;thumb
свикна;got used to it
издигна;raised
слово;word
цялостен;complete
приятелка;girlfriend
оценявам;appreciate
предпазен;protected
възнаграждение;remuneration
мрачен;gloomy
изтичане;leakage
извиня;sorry
здраво;hello
найпосле;at last
начален;initial
образец;sample
практически;practically
симптом;symptom
академия;academy
избегна;avoided
лича;licha
помежду;between
концерт;concert
прекратя;stop
съдя;prosecute
уведомя;notifying
опашка;tail
сменя;change
ресторант;restaurant
съгласен;agree
чужденец;a foreigner
наказателен;criminal
михаил;Michael
подпис;signature
събота;Saturday
индивидуален;individual
Image;Image
правосъдие;justice
камера;camera
изключителен;exceptional
препоръка;recommendation
стремя;stirrup
екран;screen
проверявам;I'm checking
ангажимент;commitment
85;85
румен;blush
станция;station
първоначално;initially
възнамерявам;I intend
дневно;daily
метален;metal
признак;sign
наруша;violation
убивам;I kill
нараствам;growing up
животински;animal
мощност;power
тим;team
терен;terrain
обсъдя;discussed
луна;the moon
долина;valley
оставям;I leave
напълня;fill up
p;p
княз;the prince
увреждане;damage
устав;charter
окончателен;final
компонент;component
предупреждение;warning
екипаж;crew
дребно;retail
png;png
реагирам;I react
усетя;felt
забрава;forgetfulness
таван;ceiling
творба;work
оферта;offer
родендата;the birthday
опиша;describe
нива;levels
узная;learning
религиозен;religious
куршум;bullet
разпределя;distributes
организъм;organism
квота;quota
имущество;property
заспя;fell asleep
счупя;broke
зима;winter
партиен;party
австрия;austria
преместя;moved
бягам;I'm running
подолу;hem
побързам;I'm in a hurry
красота;beauty
възприема;perceives
подобряване;improvement
стотица;a hundred
мразя;I hate
незаконен;illegal
напоследък;lately
роденмясто;birthplace
атанасов;atanasov
редовно;regularly
реч;speech
Н;N
избухна;exploded
поддържане;maintenance
слуга;servant
йорданов;йорданов
я;I.
гроб;grave
};}
подозирам;I suspect
спазване;compliance
семе;seed
преценя;judge
инцидент;incident
шумен;noisy
знаме;flag
активност;activity
суров;raw
поговоря;talk
ловец;hunter
йордан;Jordan
буза;cheek
химически;chemically
константин;Constantine
нежен;gentle
приблизително;approximately
религия;religion
пловдивски;Plovdiv
служебен;official
япония;Japan
футбол;football
почивка;rest
защитавам;protect
независимост;independence
белград;Belgrade
Покъсно;Later
сребърен;silver
осъдя;condemned
огледало;mirror
принц;Prince
подробен;detailed
нападение;attack
пясък;sand
страничен;lateral
завъртя;spun
поспециален;special
джеймс;james
компютърен;computer
двойка;couple
зрител;spectator
освобождавам;release
тревога;anxiety
зам;Deputy
читател;reader
мечта;a dream
възстановя;restores
призова;called
правилник;regulations
импресарски;impresario
заловя;captures
извършен;performed
летя;flying
характерен;characteristic
тека;folder
ГПК;Code of Civil Procedure
70;70
формула;formula
демократичен;democratic
подложа;subject
успешен;successful
59;59
опазване;conservation
забравям;I forget
автоматичен;automatic
изложба;exhibition
съхранение;storage
внимавам;I'm careful
растителен;vegetable
гласуване;voting
вълк;Wolf
80;80
основавам;I found
първанов;parvanov
посланик;ambassador
открит;open
норма;norm
доставчик;supplier
приоритет;priority
споменавам;I mention
задължително;mandatory
повисок;increase
предимство;advantage
топка;ball
носител;carrier
положа;position
тръба;pipe
крепост;fortress
продължителен;prolonged
Изкл;Off
лейди;lady
възникна;arose
пещера;cave
мръсен;dirty
ток;current
стъпало;foot
кариер;career
];]
художествен;artistic
|};|}
областен;regional
масов;masses
извърна;turned away
прогноза;forecast
умен;clever
квалификация;qualification
плевен;barn
измерване;measurement
летен;summer
почина;died
кожен;each
ла;la
ресторантьорство;restaurant business
твърдение;statement
станишев;stanishev
роднина;relative
яйце;egg
Хърватия;Croatia
чуден;wonderful
облекло;clothing
{|;{|
опозиция;opposition
протест;protest
черта;trait
наличен;available
защитя;protection
форум;forum
пламен;flame
for;for
излъчвам;broadcast
озова;ozova
омъжа;married
35;35
задавам;I ask
Р;R
четвърт;quarter
епоха;era
фестивал;festival
десетка;ten
бар;bar
мениджър;manager
сляза;tears
чудесно;wonderful
франк;franc
обхващам;cover
зле;bad
препарат;preparation
спад;decline
слагам;I put
конгрес;Congress
мартин;Martin
завинаги;forever
оценя;appreciate
предходен;previous
страхотен;great
описвам;describe
черен;black
африка;Africa
албания;albania
външнотърговски;foreign trade
шия;neck
перорален;oral
усмихвам;I smile
бебе;baby
бързам;I'm in a hurry
ми;we
статистически;statistically
приет;accepted
бъбречен;renal
изпълнител;contractor
изтичам;I'm running out
остатък;residue
наскоро;soon
мъгла;fog
мобилен;mobile
отведа;lead
седалка;seat
крило;wing
сергей;Sergey
заложа;bet
класически;classic
вежда;eyebrow
финал;final
баланс;balance
включен;included
67;67
стадион;stadium
моряк;sailor
глобален;global
салон;salon
връщане;return
разпространение;spread
средно;average
изкуствен;artificial
изработя;work out
чувствувам;I feel
Т;T
задам;I ask
същност;essence
ръб;edge
притеснявам;bother
последица;consequence
тревожа;disturbing
гъст;thick
напитка;drink
галерия;gallery
застрахователен;insurance
пита;he asks
хенри;Henry
ЦСКА;CSKA
мощен;powerful
class;class
T;T
лига;league
алтернативен;alternative
финансирам;finance
стоян;stand
стратегически;strategically
правилно;correct
месечен;monthly
почва;soil
запас;stock
облека;clothes
57;57
подпомагане;assistance
майстор;master
посредством;through
географски;geographically
тоест;that is
придружа;to accompany
ДДС;VAT
близост;closeness
майкъл;Michael
плащ;cloak
преработка;processing
пролет;spring
спокойствие;calm
поет;sings
площад;Plaza
свиря;I play
извод;conclusion
престъпност;crime
пресен;fresh
съсед;neighbor
буря;storm
федерация;federation
успешно;successfully
облекчение;relief
племе;tribe
кралски;royal
установен;established
прегърна;hugged
марк;mark
пощенски;postal
сан;san
colspan;colspan
статистик;statistics
валута;currency
побързо;faster
минимум;minimum
насилие;violence
напредък;progress
платно;canvas
ангелов;angels
бира;beer
склад;warehouse
панталон;pants
пилот;pilot
разширя;expands
лизинг;leasing
горски;forest
мирен;peaceful
добавка;supplement
описан;Described
отразя;reflect
духовен;spiritual
чай;tea
попов;popov
централа;power plant
рицар;knight
открито;openly
пламък;flame
хранене;nutrition
окончателно;finally
японски;Japanese
автомобилен;automobile
спалня;bedroom
емил;emil
разум;mind
елена;Helen
швейцария;Switzerland
помалък;smaller
местност;area
вземам;pick up
нормативен;normative
сключа;concluded
посредник;mediator
вечен;eternal
бизнесмен;businessman
наследник;heir
насока;direction
инвестирам;I invest
обещание;promise
нещастен;unhappy
промърморя;he muttered
министърпредседател;Prime Minister
приятно;nice
обещавам;I promise
корем;belly
допустим;allowable
пострадам;I will suffer
стандартен;standard
портал;portal
установявам;establish
милиард;billion
медиен;media
подарък;a gift
зърна;grains
ценност;value
проклет;damn it
хан;khan
45;45
разрешителен;permit
белгия;Belgium
едуард;edward
разбиране;understanding
родина;homeland
изброя;listed
космически;space
доставя;delivers
индустрия;industry
купувач;buyer
ботев;Botev
катастрофа;catastrophe
планински;mountainous
{;{
шоу;show
забия;kill
възразя;objected
унгария;Hungary
листовка;leaflet
материален;material
блестя;shining
ответник;defendant
възползвам;take advantage
многоброен;numerous
забера;take away
оцелея;survived
засиля;intensifies
хотелиерство;hospitality
EUR;EUR
отвън;outside
измама;fraud
:;:
преход;transition
найдобре;the best
объркам;I'm confused
явление;phenomenon
честен;honest
малкото;the little one
първичен;primary
изнеса;took out
34;34
работодател;employer
погрижа;take care
котка;cat
леля;aunt
смес;mixture
внасям;I import
смъртен;mortal
открадна;stole
разширяване;expansion
инфекция;infection
твърдо;firmly
досегашен;so far
реализация;realization
бойко;boyko
стабилност;stability
стълб;pillar
различавам;distinguish
впоследствие;as a result
ракета;rocket
тука;here
взаимодействие;interaction
нация;nation
вкарам;I put in
експозиция;exposition
почакам;I'll wait
съставя;composes
пола;sex
изявление;statement
EU;EU
украйна;Ukraine
колело;wheel
домакин;the host
мери;Mary
изтегля;download
участък;section
свободно;freely
пожар;fire
уилям;william
есен;autumn
проектиране;design
директно;directly
обяд;lunch
преживея;survived
развия;developed
благороден;noble
стефанов;stefanov
дългосрочен;long-term
указание;instruction
прекратяване;termination
младост;youth
нападна;attacked
кратко;short
понататък;further
оставка;resignation
индианец;Indian
дим;smoke
надигна;raised
жест;gesture
правомощие;powers
втурна;rushed
слез;tears
треперя;trembling
пристигам;arrive
свети;shines
архив;archive
питър;Peter
уникален;unique
груб;rough
прибавя;adds
досие;dossier
десетилетие;decade
израел;Israel
улов;catch
етнически;ethnic
доказвам;prove
индия;india
сравнително;relatively
33;33
натисна;pressed
миризма;smell
вот;here
полски;Polish
категоричен;categorical
предизвикателство;challenge
поглеждам;I look
натоваря;loads
натрупам;accumulate
наема;rent
изпадна;dropped out
жилищен;residential
черна;black
промълвя;he muttered
граничен;borderline
докладвам;I report
срещен;met
разработя;develop
87;87
валутен;currency
свиквам;get used to it
смешен;funny
индекс;index
ползване;use
румънски;Romanian
mm;mm
записвам;I'm recording
чанта;bag
стигам;reach
привличам;attract
продължителност;duration
цифра;figure
послание;message
бомба;bomb
ах;ah
трудност;difficulty
x;x
избягвам;I avoid
блед;pale
ключов;key
аргумент;argument
полагам;I put
отвъд;beyond
облегна;he leaned back
селянин;peasant
посолство;embassy
пенсия;pension
едро;wholesale
разкривам;I reveal
ведомство;department
TIFF;TIFF
посещавам;I visit
дясно;right
залив;bay
погоре;above
корен;root
следствие;consequence
концесия;concession
тъкан;tissue
плата;salary
терапия;therapy
зает;busy
игла;needle
звено;link
неочаквано;unexpectedly
босна;Bosnia
нанеса;inflicted
невинен;innocent
шега;a joke
изчезвам;I'm disappearing
напротив;on the contrary
95;95
монета;coin
ран;ran
орден;order
достоен;worthy
петно;stain
тридесет;thirty
легенда;legend
инспектор;inspector
вържа;bind
реалност;reality
top;top
каня;horse
плъзна;slipped
навик;habit
строя;build
la;la
отряд;detachment
бургаски;Burgas
държаватачленка;the Member State
текущ;current
гимназия;high school
отец;father
перспектива;perspective
диалог;dialogue
санкция;sanction
гледка;view
комуникация;communication
лов;hunting
провал;failure
риболов;fishing
убеден;convinced
сценарий;script
потенциален;potential
юмрук;fist
пръстен;ring
найголемите;the biggest
течност;liquid
настаня;accommodation
атмосфера;atmosphere
заявявам;I declare
наследство;heritage
отказ;refusal
леден;icy
налице;available
готовност;readiness
тичам;I'm running
обзема;takes over
дефицит;deficit
лед;ice
изречение;sentence
раня;early
термин;term
чудесен;wonderful
поведа;lead
капка;drop
раждам;I give birth
розов;pink
белег;mark
упълномощя;powers
превишавам;exceed
поредица;series
швеция;Sweden
завърна;returned
придобиване;acquisition
предположа;I suppose
/>;/>
оглеждам;I look around
пъхна;he pushed
яд;poison
предложен;proposed
плоча;plate
популярен;popular
крещя;I shout
уплаша;scares
cite;cite
алфа;alpha
сърдечен;cordial
}};}}
частица;particle
избран;elected
шосе;road
джо;Joe
поръчам;I order
фар;headlight
n;n
36;36
дроб;fraction
полк;regiment
философия;philosophy
камион;truck
публикуване;publishing
любопитен;curious
глупак;a fool
опреда;advance
затварям;I close
сериал;series
проследя;following
познание;knowledge
оригинален;original
ченге;cop
умея;I can
обслужвам;I serve
необичаен;unusual
ан;an
наставка;extension
свойство;property
ив;iv
V;V
посетител;visitor
шести;sixth
упражнявам;exercise
арест;arrest
османски;ottoman
риболовен;fishing
любопитство;curiosity
значим;significant
прозвуча;sounded
M;M
надвишавам;exceed
предназначен;intended
посветя;dedicate
изкарам;make out
гара;mountain
плюс;plus
починалдата;the deceased
виктор;Victor
асен;assen
инсталация;installation
допълвам;I supplement
турист;tourist
изстрел;shot
подобря;improves
победител;winner
принос;contribution
самотен;lonely
щаб;headquarters
арабски;Arabic
откъдето;from where
EN;EN
є;is
азия;asia
ударя;hit
77;77
аспект;aspect
буш;bush
дискусия;discussion
революция;revolution
отдалеча;from afar
потенциал;potential
дишам;I'm breathing
площадка;landing
учудя;wondering
субсидия;subsidy
глоба;fine
ангажирам;I engage
преминаване;switching
бременност;pregnancy
84;84
железопътен;railway
починалмясто;died place
ирландия;Ireland
92;92
млъкна;he fell silent
ЕИП;EEA
обмен;exchange
попреча;prevented
одобрявам;I approve
отърва;get rid of
прибирам;I'm cleaning up
величество;majesty
пети;fifth
фамилия;last name
инженер;engineer
лесен;easy
вирус;virus
бивам;I am
благоевград;Blagoevgrad
вълнение;excitement
петрол;petrol
достойнство;dignity
CMYK;CMYK
федерален;federal
цикъл;cycle
изображение;image
скромен;modest
уважение;respect
отдръпна;he withdrew
изплаша;scares
разбия;broke
евреин;a Jew
запазвам;save
самостоятелен;independent
надхвърля;exceeds
подземен;underground
БВП;GDP
гума;rubber
атина;Athens
храст;bush
забранен;forbidden
интеграция;integration
наблизо;nearby
олимпийски;Olympic
обстановка;situation
весел;cheerful
проявя;manifests
чернодробен;liver
color;color
холандия;the Netherlands
82;82
начело;at the head
зимен;winter
мая;May
?;?
контекст;context
дневник;diary
ана;ana
мед;honey
включване;turn on
танцувам;I'm dancing
сватба;wedding
php;php
БНБ;BNB
плаша;scares
конструкция;construction
четене;reading
чиновник;official
законов;laws
отрицателен;negative
критик;critic
разработване;development
флакон;bottle
наркотик;drug
въвеждам;I introduce
справедлив;fair
поддръжка;support
демонстрирам;I demonstrate
5%;5%
прекарвам;spend
придружавам;accompany
великолепен;magnificent
заинтересован;interested
царски;royal
правителствен;government
завръщане;return
поща;mail
колев;wheels
потегля;starts
ричард;Richard
упорит;stubborn
нещастие;unhappiness
вълнувам;excite
отсъствие;absence
d;d
отчета;report
кадър;frame
поздрав;greetings
дипломатически;diplomatically
вреда;harm
98;98
сграбча;grabbed
революционен;revolutionary
дръжка;handle
99;99
рак;crab
дано;given
мускул;muscle
старши;senior
подаване;submission
спиране;stopping
бразилия;Brazil
гордост;pride
англичанин;Englishman
изоставя;abandons
колан;belt
наблюдател;observer
сержант;Sergeant
слабост;weakness
постижение;achievement
фондация;foundation
хърватски;Croatian
атанас;atanas
ген;gen
другаде;elsewhere
сара;Sarah
спътник;satellite
81;81
класирам;rank
съображение;consideration
спускам;I'm going down
очила;glasses
заместник;deputy
папа;dad
урок;lesson
боя;paint
печеля;I win
преходен;transient
заетост;employment
подозрение;suspicion
етикет;etiquette
настоя;insisted
п;n
школа;school
помощник;assistant
фалшив;fake
функциониране;functioning
конституционен;constitutional
потребление;consumption
трийсет;thirty
преподавател;teacher
дебат;debate
профил;profile
християнски;Christian
уморен;tired
фен;hair dryer
павел;Paul
съставка;ingredient
пера;pen
помощен;auxiliary
лъв;lion
змия;snake
биологичен;biological
александров;of Alexandrov
ставам;I get up
монтирам;mount
корекция;correction
valign;valign
обезщетение;compensation
билет;ticket
обнародване;promulgation
обсъждане;discussion
дотогава;until then
подредя;sort
херцог;duke
потвърждавам;I confirm
храня;storage
формирам;form
заобиколя;surrounded
качествен;quality
корпоративен;corporate
стивън;Stephen
вия;howl
смесен;mixed
президентски;presidential
грабна;grabbed
регулиране;regulation
P;P
въстание;uprising
съсредоточа;focus
дивизия;division
отстъп;indent
блясък;brilliance
свещ;candle
хоризонт;horizon
изпусна;missed
Артанян;Artanyan
оправдая;justifying
закуска;breakfast
обикалям;I go around
трафик;traffic
човечество;humanity
надзорен;supervisory
мащаб;scale
прочут;heard
горя;burning
специалност;specialty
K;K
снощи;last night
глад;hunger
откъсна;tore off
андрей;андрей
название;name
тунел;tunnel
войвода;voivode
вожд;leader
пускам;I let go
см;see
красимир;красимир
пад;under
лизингов;leasing
уж;already
подпомагам;I help
майор;Major
принцеса;princess
найдобрите;the best
разхождам;I'm walking
робърт;Robert
излъжа;lied
лейтенант;lieutenant
безкраен;endless
параметър;parameter
използувам;use
кръгъл;round
стъклен;glass
убежище;asylum
автобус;bus
удостоверение;certificate
прекрасно;wonderful
бен;ben
безпокоя;disturbing
покривам;cover
завия;howl
инструкция;instruction
медицина;medicine
нападател;attacker
поголеми;bigger
предстоящ;forthcoming
хладен;cool
фиксирам;fix
утвърдя;confirmed
корпус;housing
предпочета;preferred
нервен;nervous
социалистически;socialist
нормално;normal
пот;sweat
насочвам;direct
com;com
намаление;reduction
ван;van
докарам;I bring
слизам;I'm coming down
стих;verse
предлагане;supply
№:;№:
зарадвам;I'm glad
боклук;garbage
ек;ek
39;39
Томас;Thomas
избирателен;selective
годност;suitability
поп;pop
карл;Carl
встрани;aside
et;et
рискувам;I take a risk
французин;Frenchman
талант;talent
отмина;passed
дизайн;design
церемония;ceremony
сведа;Swedish
категорично;definitely
публично;publicly
различно;different
маркетинг;marketing
замълча;he fell silent
съотношение;ratio
разумен;reasonable
образователен;educational
поправя;fix
направление;direction
поголямо;let's shave
влюбен;in love
кат;cat
кафяв;brown
найчесто;most often
сключване;conclusion
склон;slope
патрон;cartridge
интервал;interval
нарушавам;I violate
показание;indication
подхвърля;throws up
напр;e.g.
роза;rose
оттогава;since then
коефициент;coefficient
отдам;I will give
стремеж;aspiration
обмисля;is considering
фактически;in fact
гладен;hungry
48;48
вила;villa
законодателен;legislative
заявка;application
равнина;plane
стомах;stomach
овладея;master
грея;gray
сърбин;Serbian
извор;source
магия;magic
изпиша;write
инжекция;injection
австралия;Australia
произтичам;derive
No;No
изпия;drank
вносител;importer
музикант;musician
договоря;contract
драг;drag
защитник;defender
избирател;voter
индустриален;industrial
воин;warrior
царство;kingdom
тъмнина;darkness
изкрещя;he shouted
преса;Press
актуален;current
добив;extraction
найголям;the largest
депозит;deposit
хвърлям;throw
publisher;publisher
крайно;extremely
заплашвам;I threaten
случаен;random
маска;mask
разследвам;investigate
отклонение;deviation
валентин;valentine
устойчив;sustainable
обвинявам;I blame
поголямата;the bigger one
бедро;thigh
оженя;marry
брада;beard
мислене;thinking
творчески;creatively
поезия;poetry
заминавам;I'm leaving
суровина;raw material
разрешавам;allow
организиране;organizing
навреме;on time
F;F
стабилен;stable
ветеринарен;veterinary
износител;exporter
капак;cover
повикам;I call
свещен;sacred
партида;batch
референтен;reference
обявяване;announcement
ивица;strip
започване;starting
медал;medal
застраховка;insurance
IV;IV
блокирам;block
руснак;Russian
стомана;steel
изям;eat
публикация;publication
консумация;consumption
уредя;arrange
отстрани;on the side
решаване;solving
поправка;amendment
анализатор;analyzer
комунистически;communist
затворник;prisoner
съединение;compound
максимално;maximum
австрийски;Austrian
спринцовка;syringe
владетел;ruler
спешен;urgent
предизборен;pre-election
грях;sin
лея;lei
искрен;sincere
творчество;creativity
пазач;security guard
никъде;nowhere
съпротива;resistance
елизабет;Elizabeth
53;53
луис;Louis
докосвам;I touch
фабрика;factory
климат;climate
закрила;protection
умора;fatigue
драма;drama
id;id
сексуален;sexual
престъпник;criminal
градус;degrees
отложа;put it off
камара;chamber
пустиня;the desert
морален;moral
изведа;brought out
ограда;fence
стъпя;steps
омраза;hatred
развит;developed
заподозра;suspect
невидим;invisible
полесно;useful
найголямата;the largest
кресло;armchair
целувка;a kiss
свиня;pig
излизане;going out
отпускам;let go
партньорство;partnership
съдействие;assistance
посилно;stronger
класиране;ranking
постигам;I achieve
пиеса;play
or;or
мълчаливо;silently
найвероятно;most likely
лиша;deprivation
отдаване;rent
канада;Canada
сорт;sort
палат;chamber
_;_
трябвам;I have to
грък;Greek
постъпвам;I'm coming
седми;seventh
мат;mat
нарасна;grew
радостен;joyful
овца;sheep
ВКС;VKS
съкровище;treasure
скок;jump
изчисля;calculate
вписване;registration
намръщя;he frowned
инжектиране;injection
възниквам;arise
предназначение;purpose
различие;difference
кърпа;towel
извънреден;emergency
студ;stud
особеност;feature
on;he
кипър;Cyprus
редактор;editor
светъл;bright
ръкав;sleeve
уведомявам;notify
явявам;I appear
тъжен;sad
обаждам;I'm calling
атакувам;I attack
мечтая;dreaming
съвместно;together
СССР;USSR
активно;active
паспорт;passport
топлина;heat
регулирам;regulate
напразно;in vain
преведа;translated
палуба;deck
представителен;representative
застрелям;I shoot
з;with
виза;visa
дъска;board
снимам;take a photo
любовен;love
отзад;behind
внезапен;sudden
пренеса;transferred
колекция;collection
сключен;concluded
физик;physicist
стартирам;I start
пускане;release
пристигане;arrival
уважавам;I respect
последствие;consequence
багаж;luggage
o;o
предположение;assumption
тракия;Thrace
отпуск;vacation
извинявам;I'm sorry
удрям;I hit
маринов;marines
замяна;replacement
нокът;the nail
херцеговина;herzegovina
разруша;destroy
превозвач;carrier
структурен;structural
берлин;Berlin
екологичен;ecological
л;l
фронт;front
взирам;I look
забавен;funny
телесен;bodily
концепция;concept
оборот;turnover
суша;drought
ограничавам;limit
басейн;swimming pool
кръчма;pub
влакно;fiber
непрекъснат;continuous
преодолея;overcome
заплащане;payment
изготвяне;preparation
килограм;kilogram
бурен;storm
действителен;actual
покупкопродажба;purchase and sale
изучавам;I study
завеса;curtain
щета;damage
изкача;climbed
подир;after
напомням;I remind you
слушалка;handset
базирам;base
тъмно;dark
настана;occurred
изключвам;exclude
несъмнено;undoubtedly
дисциплина;discipline
стадо;herd
абсолютен;absolute
вкл;incl
неподвижен;motionless
писмено;in writing
португалия;portugal
въображение;imagination
реално;real
кандидатура;candidacy
ЕАД;EAD
нежно;gently
крадец;thief
посегна;he reached out
≥;≥
комбиниран;combined
ii;ii
чешки;Czech
спектакъл;spectacle
югоизточен;southeast
молитва;prayer
неприятност;trouble
слой;layer
поколебая;wavering
хрумне;it occurs
мазнина;fat
$;$
субект;subject
технологичен;technological
{{;{{
марков;brands
запомня;remembers
изпитание;test
търпение;patience
пречка;obstacle
епизод;episode
египет;egypt
младежки;youth
ивайло;ivajlo
ярък;bright
добрич;good
пенсионен;pension
закупя;buy
непременно;by all means
адам;Adam
концесионен;concessionary
fontsize;fontsize
вследствие;due
възложа;assigned
география;geography
навляза;intrusion
подчинен;subordinate
експедиция;expedition
слабо;weak
цветен;color
театрален;theatrical
претенция;claim
прозрачен;transparent
изтека;expired
кюстендил;Kyustendil
дар;gift
ЕГН;PIN
яздя;ride
скопие;stinginess
56;56
сладък;cute
забавлявам;amuse
щатски;US
илия;ilia
цивилизация;civilization
сливен;sliven
поднеса;presented
отрека;denied
космос;space
мм;mm
БНТ;BNT
изслушам;I will listen
доловя;I catch
албански;Albanian
възражение;objection
отглеждам;cultivate
заявител;applicant
41;41
латински;Latin
изпитам;I feel
кабина;cabin
дания;Denmark
приведа;brought
поклон;bow
честно;honestly
Чарли;Charlie
четиридесет;forty
стрела;arrow
християнин;Christian
ник;nickname
подчертавам;I emphasize
звяр;beast
приключване;completion
пазарджик;market
иран;Iran
кариера;career
енергетика;energy
анализирам;analyze
натриев;sodium
рок;rock
протестирам;I protest
признаване;recognition
приятелски;friendly
декларирам;I declare
инспекция;inspection
сънувам;I dream
изиграя;played
чувствителен;sensitive
джони;Johnny
газов;gases
изясня;clarified
настрана;aside
предотвратя;prevent
секс;sex
техника;technique
детайл;detail
пръсна;burst
владея;possessing
атомен;atomic
самоличност;identity
довърша;finish
черно;black
експеримент;experiment
останка;the rest
разменя;exchanges
ром;rum
униформа;uniform
зъл;evil
лихвен;interest
недостатъчен;insufficient
признание;recognition
придобивам;acquire
товарен;freight
класация;ranking
разходка;walk
флот;fleet
43;43
плъх;rat
роба;robe
настъпвам;step on
катрин;Catherine
плът;flesh
Подобре;Better
териториален;territorial
глух;deaf
извия;twisted
континент;continent
даниел;Daniel
функционирам;I function
чиния;plate
писта;track
бос;boss
имение;estate
лира;pound
магистрат;magistrate
вест;news
тогавашен;then
донякъде;to some extent
излишен;needless
ниско;low
неочакван;unexpected
оценяване;evaluation
старая;old
изтръгна;pulled out
смел;brave
мениджмънт;management
монах;monk
склонен;inclined
дълбочина;depth
опра;опра
алекс;alex
инжекционен;injection
виена;Vienna
организатор;organizer
1985;1985
па;on
сблъсък;collision
вложа;invest
пуша;smoke
противопоставя;opposes
оформя;forms
поставям;I put
тероризъм;terrorism
понисък;lower
бранш;branch
лицензионен;licensed
оръдие;cannon
бягство;escape
обединение;unification
url;url
старт;start
мадам;madam
42;42
пиян;drunk
говорител;speaker
повторно;again
подобър;better
законен;legitimate
200;200
разтворя;dissolves
оплаквам;I'm sorry
отличавам;distinguish
вечно;forever
битов;bits
седмично;per week
възел;node
типичен;typical
извънредно;extraordinary
сол;sol
лечебен;healing
актриса;actress
чудовище;monster
кредитор;creditor
зеленчук;vegetables
премествам;move
православен;orthodox
тайно;secretly
нареждам;I order
важа;weight
измеря;measure
нетен;net
ликвидация;liquidation
изследовател;Explorer
плавам;I swim
разглеждане;consideration
проникна;penetrated
разочаровам;disappoint
погреба;burial
влажен;wet
помръдна;moved
безопасен;safe
DE;DE
border;border
ставка;rate
страж;guard
недостатък;disadvantage
накажа;will punish
почивам;I'm resting
мия;wash
смелост;courage
делегация;delegation
югославия;Yugoslavia
справка;reference
намалея;decrease
експертсчетоводител;expert accountant
резервен;spare
докрай;to the end
подписване;signing
неотдавна;recently
обичай;custom
посъветвам;I advise
изскоча;jumps out
логичен;logical
IU;IU
разработка;development
разкъсам;tear up
невъзможен;impossible
рожден;born
детектив;detective
дразня;teasing
магистрала;highway
вреден;harmful
дотам;until there
убит;killed
гоня;chase
опитен;experienced
хей;hey
групировка;grouping
гладък;smooth
проуча;studied
светя;shines
дотук;so far
агентство;agency
забранявам;I forbid
